date,store,item,unitSold,sales,product_name,customer_name
01-01-2022,1,P1,36,756,AquaPure,Customer_118
01-01-2022,1,P1,237,7299.6,AquaPure,Customer_423
01-01-2022,1,P1,126,5520.06,AquaPure,Customer_693
01-01-2022,1,P10,232,8024.88,FreshSeal,Customer_750
01-01-2022,1,P10,249,7240.92,FreshSeal,Customer_375
01-01-2022,1,P10,398,11100.22,FreshSeal,Customer_458
01-01-2022,1,P10,53,1301.68,FreshSeal,Customer_425
01-01-2022,1,P11,23,820.41,LightLoom,Customer_843
01-01-2022,1,P11,224,5508.16,LightLoom,Customer_784
01-01-2022,1,P11,162,4631.58,LightLoom,Customer_355
01-01-2022,1,P12,229,8951.61,ActiveGear,Customer_738
01-01-2022,1,P12,62,2648.02,ActiveGear,Customer_246
01-01-2022,1,P13,341,13114.86,SafeShield,Customer_340
01-01-2022,1,P13,337,11424.3,SafeShield,Customer_372
01-01-2022,1,P13,32,1218.24,SafeShield,Customer_212
01-01-2022,1,P13,356,13225.4,SafeShield,Customer_238
01-01-2022,1,P14,134,1586.56,ThermaComfort,Customer_121
01-01-2022,1,P14,247,5468.58,ThermaComfort,Customer_577
01-01-2022,1,P14,36,1727.64,ThermaComfort,Customer_156
01-01-2022,2,P14,371,5431.44,ThermaComfort,Customer_573
01-01-2022,2,P15,236,10589.32,GreenSprout,Customer_425
01-01-2022,2,P15,31,689.75,GreenSprout,Customer_482
01-01-2022,2,P15,128,3091.2,GreenSprout,Customer_185
01-01-2022,2,P16,157,4092.99,ChillPod,Customer_36
01-01-2022,2,P16,151,3154.39,ChillPod,Customer_245
01-01-2022,2,P16,78,820.56,ChillPod,Customer_38
01-01-2022,2,P16,152,6086.08,ChillPod,Customer_794
01-01-2022,2,P17,307,10195.47,HydroMate,Customer_755
01-01-2022,2,P17,141,5610.39,HydroMate,Customer_515
01-01-2022,2,P17,113,1294.98,HydroMate,Customer_144
01-01-2022,2,P18,250,10315,VisionGuard,Customer_922
01-01-2022,2,P18,424,8458.8,VisionGuard,Customer_66
01-01-2022,2,P18,249,6182.67,VisionGuard,Customer_861
